;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
China;Honduras;1;629;1,3;89;0,06;123;0,81;46;2,17;
China;India;123;629;1,3;155501;100;123;100;80388;0,15;
China;Indonesia;7;629;1,3;7742;4,98;123;5,69;4116;0,17;
China;Israel;1;629;1,3;3125;2,01;123;0,81;1688;0,06;
China;Italy;7;629;1,3;3404;2,19;123;5,69;1452;0,48;
China;Japan;4;629;1,3;705;0,45;123;3,25;359;1,11;
China;Kazakhstan;1;629;1,3;253;0,16;123;0,81;147;0,68;
China;Kenya;2;629;1,3;1637;1,05;123;1,63;818;0,24;
China;Lebanon;1;629;1,3;1029;0,66;123;0,81;544;0,18;
China;Madagascar;1;629;1,3;63;0,04;123;0,81;34;2,94;
China;Malta;5;629;1,3;393;0,25;123;4,07;190;2,63;
China;Mexico;1;629;1,3;3465;2,23;123;0,81;1732;0,06;
China;Moldova;1;629;1,3;3146;2,02;123;0,81;1541;0,06;
China;Morocco;2;629;1,3;1112;0,72;123;1,63;517;0,39;
China;Nepal;3;629;1,3;1861;1,2;123;2,44;1018;0,29;
China;Netherlands;1;629;1,3;3487;2,24;123;0,81;1579;0,06;
China;Nigeria;2;629;1,3;909;0,58;123;1,63;444;0,45;
China;Norway;1;629;1,3;779;0,5;123;0,81;348;0,29;
China;Pakistan;71;629;1,3;72899;46,88;123;57,72;36757;0,19;
China;Palestine;1;629;1,3;206;0,13;123;0,81;104;0,96;
China;Philippines;15;629;1,3;13478;8,67;123;12,2;7059;0,21;
China;Poland;2;629;1,3;7145;4,59;123;1,63;3520;0,06;
China;Portugal;9;629;1,3;2963;1,91;123;7,32;1682;0,54;
China;Romania;45;629;1,3;92390;59,41;123;36,59;1370;3,28;
China;Russian Federation;48;629;1,3;28357;18,24;123;39,02;218;22,02;
China;Serbia;3;629;1,3;10957;7,05;123;2,44;5747;0,05;
China;Singapore;4;629;1,3;2154;1,39;123;3,25;1182;0,34;
China;Slovakia;1;629;1,3;631;0,41;123;0,81;306;0,33;
China;Slovenia;3;629;1,3;630;0,41;123;2,44;332;0,9;
China;South Africa;1;629;1,3;2355;1,51;123;0,81;1027;0,1;
China;Spain;5;629;1,3;4028;2,59;123;4,07;1948;0,26;
China;Sri Lanka;2;629;1,3;6306;4,06;123;1,63;2884;0,07;
China;Sweden;1;629;1,3;3060;1,97;123;0,81;1468;0,07;
China;Switzerland;1;629;1,3;736;0,47;123;0,81;333;0,3;
China;Tunisia;2;629;1,3;1968;1,27;123;1,63;825;0,24;
China;Turkey;10;629;1,3;4827;3,1;123;8,13;2421;0,41;
China;Ukraine;15;629;1,3;27775;17,86;123;12,2;13875;0,11;
China;United Arab Emirates;9;629;1,3;2335;1,5;123;7,32;1226;0,73;
China;United Kingdom;12;629;1,3;29927;19,25;123;9,76;14558;0,08;
China;United States;58;629;1,3;105420;67,79;123;47,15;64074;0,09;
China;Vietnam;10;629;1,3;9827;6,32;123;8,13;4529;0,22;
Colombia;Argentina;46;738;1,5;12720;8,18;160;28,75;6839;0,67;
Colombia;Armenia;1;738;1,5;1985;1,28;160;0,63;1066;0,09;
Colombia;Australia;4;738;1,5;9761;6,28;160;2,5;5051;0,08;
Colombia;Bangladesh;23;738;1,5;17468;11,23;160;14,38;8416;0,27;
Colombia;Belgium ;1;738;1,5;1653;1,06;160;0,63;853;0,12;
Colombia;Bolivia;1;738;1,5;134;0,09;160;0,63;55;1,82;
Colombia;Bosnia and Herzegowina;3;738;1,5;1563;1,01;160;1,88;800;0,38;
Colombia;Brazil;6;738;1,5;4834;3,11;160;3,75;2612;0,23;
Colombia;Bulgaria;8;738;1,5;9387;6,04;160;5;4695;0,17;
Colombia;Canada;23;738;1,5;25485;16,39;160;14,38;14440;0,16;
Colombia;China;12;738;1,5;7801;5,02;160;7,5;3871;0,31;
Colombia;Colombia;8;738;1,5;889;0,57;160;5;524;1,53;
Colombia;Croatia;1;738;1,5;2778;1,79;160;0,63;1364;0,07;
Colombia;Dominican Republic;2;738;1,5;752;0,48;160;1,25;412;0,49;
Colombia;Ecuador;3;738;1,5;790;0,51;160;1,88;459;0,65;
Colombia;Egypt;15;738;1,5;17182;11,05;160;9,38;8809;0,17;
Colombia;El Salvador;6;738;1,5;260;0,17;160;3,75;26;23,08;
Colombia;Ethiopia;1;738;1,5;84;0,05;160;0,63;4;25;
Colombia;Fiji;1;738;1,5;228;0,15;160;0,63;94;1,06;
Colombia;France;5;738;1,5;3513;2,26;160;3,13;1601;0,31;
Colombia;Germany ;7;738;1,5;7974;5,13;160;4,38;3700;0,19;
Colombia;Greece;1;738;1,5;1848;1,19;160;0,63;844;0,12;
Colombia;Hong Kong;1;738;1,5;671;0,43;160;0,63;418;0,24;
Colombia;Hungary;2;738;1,5;1694;1,09;160;1,25;775;0,26;
Colombia;India;160;738;1,5;155501;100;160;100;80388;0,2;
Colombia;Indonesia;12;738;1,5;7742;4,98;160;7,5;4116;0,29;
Colombia;Ireland;4;738;1,5;925;0,59;160;2,5;477;0,84;
Colombia;Israel;1;738;1,5;3125;2,01;160;0,63;1688;0,06;
Colombia;Italy;2;738;1,5;3404;2,19;160;1,25;1452;0,14;
Colombia;Lithuania;3;738;1,5;1867;1,2;160;1,88;958;0,31;
Colombia;Luxembourg;1;738;1,5;25;0,02;160;0,63;9;11,11;
Colombia;Malaysia;4;738;1,5;3160;2,03;160;2,5;1760;0,23;
Colombia;Mexico;2;738;1,5;3465;2,23;160;1,25;1732;0,12;
Colombia;Moldova;3;738;1,5;3146;2,02;160;1,88;1541;0,19;
Colombia;Morocco;4;738;1,5;1112;0,72;160;2,5;517;0,77;
Colombia;Norway;1;738;1,5;779;0,5;160;0,63;348;0,29;
Colombia;Pakistan;44;738;1,5;72899;46,88;160;27,5;36757;0,12;
Colombia;Palestine;1;738;1,5;206;0,13;160;0,63;104;0,96;
Colombia;Peru;2;738;1,5;919;0,59;160;1,25;498;0,4;
Colombia;Philippines;7;738;1,5;13478;8,67;160;4,38;7059;0,1;
Colombia;Poland;1;738;1,5;7145;4,59;160;0,63;3520;0,03;
Colombia;Portugal;4;738;1,5;2963;1,91;160;2,5;1682;0,24;
Colombia;Romania;113;738;1,5;92390;59,41;160;70,63;48482;0,23;
Colombia;Russian Federation;8;738;1,5;28357;18,24;160;5;14718;0,05;
Colombia;Serbia;20;738;1,5;10957;7,05;160;12,5;5747;0,35;
Colombia;Serbia + Montenegro (old);2;738;1,5;699;0,45;160;1,25;393;0,51;
Colombia;Slovakia;2;738;1,5;631;0,41;160;1,25;306;0,65;
Colombia;Slovenia;1;738;1,5;630;0,41;160;0,63;332;0,3;
Colombia;Spain;4;738;1,5;4028;2,59;160;2,5;1948;0,21;
Colombia;Sri Lanka;5;738;1,5;6306;4,06;160;3,13;2884;0,17;
Colombia;Sweden;5;738;1,5;3060;1,97;160;3,13;1414;0,35;
Colombia;Switzerland;1;738;1,5;736;0,47;160;0,63;569;0,18;
Colombia;Syrian Arab Republic;3;738;1,5;360;0,23;160;1,88;137;2,19;
Colombia;Thailand;2;738;1,5;1454;0,94;160;1,25;717;0,28;
Colombia;Tunisia;2;738;1,5;1968;1,27;160;1,25;825;0,24;
Colombia;Turkey;6;738;1,5;4827;3,1;160;3,75;2421;0,25;
Colombia;Ukraine;41;738;1,5;27775;17,86;160;25,63;13875;0,3;
Colombia;United Arab Emirates;1;738;1,5;2335;1,5;160;0,63;1226;0,08;
Colombia;United Kingdom;21;738;1,5;29927;19,25;160;13,13;14558;0,14;
Colombia;United States;38;738;1,5;105420;67,79;160;23,75;64074;0,06;
Colombia;Uruguay;1;738;1,5;1500;0,96;160;0,63;923;0,11;
Colombia;Venezuela;3;738;1,5;613;0,39;160;1,88;382;0,79;
Colombia;Vietnam;19;738;1,5;9827;6,32;160;11,88;4529;0,42;
Colombia;Zambia;3;738;1,5;12;0,01;160;1,88;4;75;
Congo (Democratic Republic of the);Ukraine;27;27;0,1;27775;17,86;27;100;13875;0,19;
Cook islands;Romania;1;1;0;92390;59,41;1;100;48482;0;
Costa Rica;Argentina;12;729;1,5;12720;8,18;150;8;6839;0,18;
Costa Rica;Australia;1;729;1,5;9761;6,28;150;0,67;5051;0,02;
Costa Rica;Austria;2;729;1,5;602;0,39;150;1,33;279;0,72;
Costa Rica;Bangladesh;15;729;1,5;17468;11,23;150;10;8416;0,18;
Costa Rica;Belarus ;1;729;1,5;3044;1,96;150;0,67;1391;0,07;
Costa Rica;Bolivia;3;729;1,5;134;0,09;150;2;55;5,45;
Costa Rica;Brazil;6;729;1,5;4834;3,11;150;4;2612;0,23;
Costa Rica;Bulgaria;9;729;1,5;9387;6,04;150;6;4695;0,19;
Costa Rica;Cameroon ;3;729;1,5;115;0,07;150;2;46;6,52;
Costa Rica;Canada;15;729;1,5;25485;16,39;150;10;14440;0,1;
Costa Rica;China;7;729;1,5;7801;5,02;150;4,67;3871;0,18;
Costa Rica;Colombia;3;729;1,5;889;0,57;150;2;524;0,57;
Costa Rica;Costa Rica;1;729;1,5;180;0,12;150;0,67;106;0,94;
Costa Rica;Cyprus;1;729;1,5;441;0,28;150;0,67;291;0,34;
Costa Rica;Ecuador;3;729;1,5;790;0,51;150;2;459;0,65;
Costa Rica;Egypt;4;729;1,5;17182;11,05;150;2,67;8809;0,05;
Costa Rica;Finland;1;729;1,5;808;0,52;150;0,67;318;0,31;
Costa Rica;France;12;729;1,5;3513;2,26;150;8;1601;0,75;
Costa Rica;Germany ;21;729;1,5;7974;5,13;150;14;1982;1,06;
Costa Rica;Hungary;1;729;1,5;1694;1,09;150;0,67;48;2,08;
Costa Rica;India;150;729;1,5;155501;100;150;100;80388;0,19;
Costa Rica;Indonesia;8;729;1,5;7742;4,98;150;5,33;4116;0,19;
Costa Rica;Ireland;2;729;1,5;925;0,59;150;1,33;477;0,42;
Costa Rica;Israel;8;729;1,5;3125;2,01;150;5,33;1688;0,47;
Costa Rica;Italy;5;729;1,5;3404;2,19;150;3,33;1452;0,34;
Costa Rica;Kenya;1;729;1,5;1637;1,05;150;0,67;818;0,12;
Costa Rica;Kyrgyzstan;1;729;1,5;1521;0,98;150;0,67;821;0,12;
Costa Rica;Latvia;1;729;1,5;655;0,42;150;0,67;255;0,39;
Costa Rica;Malaysia;1;729;1,5;3160;2,03;150;0,67;1760;0,06;
Costa Rica;Mexico;1;729;1,5;3465;2,23;150;0,67;1732;0,06;
Costa Rica;Moldova;3;729;1,5;3146;2,02;150;2;1541;0,19;
Costa Rica;Morocco;3;729;1,5;1112;0,72;150;2;517;0,58;
Costa Rica;Nepal;1;729;1,5;1861;1,2;150;0,67;1018;0,1;
Costa Rica;Pakistan;71;729;1,5;72899;46,88;150;47,33;36757;0,19;
Costa Rica;Peru;3;729;1,5;919;0,59;150;2;498;0,6;
Costa Rica;Philippines;18;729;1,5;13478;8,67;150;12;7059;0,25;
Costa Rica;Poland;10;729;1,5;7145;4,59;150;6,67;3520;0,28;
Costa Rica;Portugal;10;729;1,5;2963;1,91;150;6,67;1682;0,59;
Costa Rica;Romania;104;729;1,5;92390;59,41;150;69,33;48482;0,21;
Costa Rica;Russian Federation;12;729;1,5;28357;18,24;150;8;14718;0,08;
Costa Rica;Rwanda;1;729;1,5;42;0,03;150;0,67;23;4,35;
Costa Rica;Saint Vincent and the Grenadines;1;729;1,5;81;0,05;150;0,67;29;3,45;
Costa Rica;Serbia;30;729;1,5;10957;7,05;150;20;5747;0,52;
Costa Rica;Singapore;2;729;1,5;2154;1,39;150;1,33;1182;0,17;
Costa Rica;Slovenia;2;729;1,5;630;0,41;150;1,33;332;0,6;
Costa Rica;South Africa;2;729;1,5;2355;1,51;150;1,33;1027;0,19;
Costa Rica;Spain;3;729;1,5;4028;2,59;150;2;1948;0,15;
Costa Rica;Sri Lanka;6;729;1,5;6306;4,06;150;4;2884;0,21;
Costa Rica;Sweden;2;729;1,5;3060;1,97;150;1,33;1468;0,14;
Costa Rica;Switzerland;1;729;1,5;736;0,47;150;0,67;333;0,3;
Costa Rica;Syrian Arab Republic;2;729;1,5;360;0,23;150;1,33;137;1,46;
Costa Rica;Turkey;1;729;1,5;4827;3,1;150;0,67;2421;0,04;
Costa Rica;Ukraine;7;729;1,5;27775;17,86;150;4,67;205;3,41;
Costa Rica;United Arab Emirates;1;729;1,5;2335;1,5;150;0,67;369;0,27;
Costa Rica;United Kingdom;40;729;1,5;29927;19,25;150;26,67;14558;0,27;
Costa Rica;United States;92;729;1,5;105420;67,79;150;61,33;64074;0,14;
Costa Rica;Uruguay;1;729;1,5;1500;0,96;150;0,67;923;0,11;
Costa Rica;Vietnam;1;729;1,5;9827;6,32;150;0,67;4529;0,02;
Cote d'Ivoire (Ivory Coast);India;4;6;0;155501;100;4;100;80388;0;
Cote d'Ivoire (Ivory Coast);Serbia;1;6;0;10957;7,05;4;25;5747;0,02;
Cote d'Ivoire (Ivory Coast);Vietnam;1;6;0;9827;6,32;4;25;4529;0,02;
Croatia;;2;1183;2,4;0;0;280;0,71;1527;0,13;
Croatia;Argentina;17;1183;2,4;12720;8,18;280;6,07;6839;0,25;
Croatia;Armenia;5;1183;2,4;1985;1,28;280;1,79;1066;0,47;
Croatia;Australia;13;1183;2,4;9761;6,28;280;4,64;5051;0,26;
Croatia;Bangladesh;15;1183;2,4;17468;11,23;280;5,36;8416;0,18;
Croatia;Belarus ;2;1183;2,4;3044;1,96;280;0,71;1391;0,14;
Croatia;Belgium ;4;1183;2,4;1653;1,06;280;1,43;853;0,47;
Croatia;Bosnia and Herzegowina;1;1183;2,4;1563;1,01;280;0,36;800;0,13;
Croatia;Brazil;8;1183;2,4;4834;3,11;280;2,86;2612;0,31;
Croatia;Bulgaria;25;1183;2,4;9387;6,04;280;8,93;4695;0,53;
Croatia;Cameroon ;1;1183;2,4;115;0,07;280;0,36;46;2,17;
Croatia;Canada;31;1183;2,4;25485;16,39;280;11,07;14440;0,21;
Croatia;Chile;2;1183;2,4;493;0,32;280;0,71;293;0,68;
Croatia;China;15;1183;2,4;7801;5,02;280;5,36;3871;0,39;
Croatia;Colombia;1;1183;2,4;889;0,57;280;0,36;524;0,19;
Croatia;Croatia;8;1183;2,4;2778;1,79;280;2,86;1364;0,59;
Croatia;Denmark;2;1183;2,4;702;0,45;280;0,71;329;0,61;
Croatia;Dominican Republic;1;1183;2,4;752;0,48;280;0,36;412;0,24;
Croatia;Egypt;28;1183;2,4;17182;11,05;280;10;8809;0,32;
Croatia;Finland;1;1183;2,4;808;0,52;280;0,36;318;0,31;
Croatia;Former Yugoslav Republic Of Macedonia;18;1183;2,4;1198;0,77;280;6,43;624;2,88;
Croatia;France;18;1183;2,4;3513;2,26;280;6,43;1601;1,12;
Croatia;Germany ;21;1183;2,4;7974;5,13;280;7,5;3700;0,57;
Croatia;Ghana;7;1183;2,4;95;0,06;280;2,5;53;13,21;
Croatia;India;280;1183;2,4;155501;100;280;100;80388;0,35;
Croatia;Indonesia;8;1183;2,4;7742;4,98;280;2,86;103;7,77;
Croatia;Ireland;2;1183;2,4;925;0,59;280;0,71;1318;0,15;
Croatia;Israel;9;1183;2,4;3125;2,01;280;3,21;1688;0,53;
Croatia;Italy;5;1183;2,4;3404;2,19;280;1,79;1452;0,34;
Croatia;Jamaica;1;1183;2,4;233;0,15;280;0,36;107;0,93;
Croatia;Japan;1;1183;2,4;705;0,45;280;0,36;359;0,28;
Croatia;Jordan;1;1183;2,4;864;0,56;280;0,36;438;0,23;
Croatia;Kyrgyzstan;1;1183;2,4;1521;0,98;280;0,36;821;0,12;
Croatia;Latvia;1;1183;2,4;655;0,42;280;0,36;255;0,39;
Croatia;Lebanon;1;1183;2,4;1029;0,66;280;0,36;544;0,18;
Croatia;Lithuania;2;1183;2,4;1867;1,2;280;0,71;958;0,21;
Croatia;Luxembourg;1;1183;2,4;25;0,02;280;0,36;9;11,11;
Croatia;Malaysia;3;1183;2,4;3160;2,03;280;1,07;1760;0,17;
Croatia;Mexico;1;1183;2,4;3465;2,23;280;0,36;1732;0,06;
Croatia;Moldova;6;1183;2,4;3146;2,02;280;2,14;1541;0,39;
Croatia;Morocco;1;1183;2,4;1112;0,72;280;0,36;517;0,19;
Croatia;Netherlands;1;1183;2,4;3487;2,24;280;0,36;1579;0,06;
Croatia;New Zealand;3;1183;2,4;1482;0,95;280;1,07;827;0,36;
Croatia;Norway;1;1183;2,4;779;0,5;280;0,36;348;0,29;
Croatia;Pakistan;72;1183;2,4;72899;46,88;280;25,71;36757;0,2;
Croatia;Peru;5;1183;2,4;919;0,59;280;1,79;498;1;
Croatia;Philippines;7;1183;2,4;13478;8,67;280;2,5;7059;0,1;
Croatia;Poland;17;1183;2,4;7145;4,59;280;6,07;3520;0,48;
Croatia;Portugal;2;1183;2,4;2963;1,91;280;0,71;1682;0,12;
Croatia;Romania;97;1183;2,4;92390;59,41;280;34,64;48482;0,2;
Croatia;Russian Federation;62;1183;2,4;28357;18,24;280;22,14;14718;0,42;
Croatia;Saudi Arabia;1;1183;2,4;645;0,41;280;0,36;335;0,3;
Croatia;Serbia;30;1183;2,4;10957;7,05;280;10,71;5747;0,52;
Croatia;Serbia + Montenegro (old);5;1183;2,4;699;0,45;280;1,79;393;1,27;
Croatia;Singapore;4;1183;2,4;2154;1,39;280;1,43;1182;0,34;
Croatia;South Africa;1;1183;2,4;2355;1,51;280;0,36;1027;0,1;
Croatia;Spain;12;1183;2,4;4028;2,59;280;4,29;1948;0,62;
Croatia;Sri Lanka;10;1183;2,4;6306;4,06;280;3,57;2884;0,35;
Croatia;Sweden;1;1183;2,4;3060;1,97;280;0,36;1468;0,07;
Croatia;Switzerland;2;1183;2,4;736;0,47;280;0,71;569;0,35;
Croatia;Syrian Arab Republic;1;1183;2,4;360;0,23;280;0,36;3;33,33;
Croatia;Thailand;2;1183;2,4;1454;0,94;280;0,71;717;0,28;
Croatia;Turkey;6;1183;2,4;4827;3,1;280;2,14;2421;0,25;
Croatia;Ukraine;66;1183;2,4;27775;17,86;280;23,57;13875;0,48;
Croatia;United Arab Emirates;6;1183;2,4;2335;1,5;280;2,14;1226;0,49;
Croatia;United Kingdom;82;1183;2,4;29927;19,25;280;29,29;14558;0,56;
Croatia;United States;99;1183;2,4;105420;67,79;280;35,36;64074;0,15;
Croatia;Vietnam;17;1183;2,4;9827;6,32;280;6,07;4529;0,38;
Croatia;Zimbabwe;1;1183;2,4;92;0,06;280;0,36;40;2,5;
Cyprus;;5;1373;2,8;0;0;309;1,62;1527;0,33;
Cyprus;Argentina;3;1373;2,8;12720;8,18;309;0,97;6839;0,04;
Cyprus;Australia;14;1373;2,8;9761;6,28;309;4,53;5051;0,28;
Cyprus;Bangladesh;66;1373;2,8;17468;11,23;309;21,36;8416;0,78;
Cyprus;Belarus ;15;1373;2,8;3044;1,96;309;4,85;1391;1,08;
Cyprus;Belgium ;1;1373;2,8;1653;1,06;309;0,32;853;0,12;
Cyprus;Bolivia;1;1373;2,8;134;0,09;309;0,32;55;1,82;
Cyprus;Bosnia and Herzegowina;1;1373;2,8;1563;1,01;309;0,32;800;0,13;
Cyprus;Brazil;6;1373;2,8;4834;3,11;309;1,94;2612;0,23;
Cyprus;Bulgaria;20;1373;2,8;9387;6,04;309;6,47;4695;0,43;
Cyprus;Canada;33;1373;2,8;25485;16,39;309;10,68;14440;0,23;
Cyprus;Cayman Islands;1;1373;2,8;21;0,01;309;0,32;7;14,29;
Cyprus;China;10;1373;2,8;7801;5,02;309;3,24;3871;0,26;
Cyprus;Colombia;1;1373;2,8;889;0,57;309;0,32;524;0,19;
Cyprus;Croatia;3;1373;2,8;2778;1,79;309;0,97;1364;0,22;
Cyprus;Czech Republic;2;1373;2,8;1181;0,76;309;0,65;692;0,29;
Cyprus;Denmark;3;1373;2,8;702;0,45;309;0,97;329;0,91;
Cyprus;Ecuador;2;1373;2,8;790;0,51;309;0,65;459;0,44;
Cyprus;Egypt;25;1373;2,8;17182;11,05;309;8,09;8809;0,28;
Cyprus;Estonia;6;1373;2,8;800;0,51;309;1,94;438;1,37;
Cyprus;Fiji;1;1373;2,8;228;0,15;309;0,32;94;1,06;
Cyprus;Finland;3;1373;2,8;808;0,52;309;0,97;318;0,94;
Cyprus;Former Yugoslav Republic Of Macedonia;2;1373;2,8;1198;0,77;309;0,65;624;0,32;
Cyprus;Germany ;12;1373;2,8;7974;5,13;309;3,88;3700;0,32;
Cyprus;Greece;10;1373;2,8;1848;1,19;309;3,24;590;1,69;
Cyprus;Guatemala;1;1373;2,8;187;0,12;309;0,32;6;16,67;
Cyprus;Hungary;3;1373;2,8;1694;1,09;309;0,97;775;0,39;
Cyprus;India;309;1373;2,8;155501;100;309;100;80388;0,38;
Cyprus;Indonesia;7;1373;2,8;7742;4,98;309;2,27;4116;0,17;
Cyprus;Ireland;2;1373;2,8;925;0,59;309;0,65;477;0,42;
Cyprus;Israel;5;1373;2,8;3125;2,01;309;1,62;1688;0,3;
Cyprus;Italy;11;1373;2,8;3404;2,19;309;3,56;1452;0,76;
Cyprus;Japan;2;1373;2,8;705;0,45;309;0,65;359;0,56;
Cyprus;Jordan;2;1373;2,8;864;0,56;309;0,65;438;0,46;
Cyprus;Kenya;2;1373;2,8;1637;1,05;309;0,65;818;0,24;
Cyprus;Korea;1;1373;2,8;127;0,08;309;0,32;59;1,69;
Cyprus;Kyrgyzstan;9;1373;2,8;1521;0,98;309;2,91;821;1,1;
Cyprus;Lebanon;1;1373;2,8;1029;0,66;309;0,32;544;0,18;
Cyprus;Lithuania;10;1373;2,8;1867;1,2;309;3,24;958;1,04;
Cyprus;Malaysia;1;1373;2,8;3160;2,03;309;0,32;1760;0,06;
Cyprus;Mexico;3;1373;2,8;3465;2,23;309;0,97;1732;0,17;
Cyprus;Moldova;6;1373;2,8;3146;2,02;309;1,94;1541;0,39;
Cyprus;Morocco;3;1373;2,8;1112;0,72;309;0,97;517;0,58;
Cyprus;Namibia;1;1373;2,8;17;0,01;309;0,32;6;16,67;
Cyprus;Nepal;13;1373;2,8;1861;1,2;309;4,21;1018;1,28;
Cyprus;Netherlands;6;1373;2,8;3487;2,24;309;1,94;1579;0,38;
Cyprus;Norway;3;1373;2,8;779;0,5;309;0,97;348;0,86;
Cyprus;Pakistan;149;1373;2,8;72899;46,88;309;48,22;36757;0,41;
Cyprus;Philippines;52;1373;2,8;13478;8,67;309;16,83;7059;0,74;
Cyprus;Poland;8;1373;2,8;7145;4,59;309;2,59;3520;0,23;
Cyprus;Portugal;12;1373;2,8;2963;1,91;309;3,88;1682;0,71;
Cyprus;Romania;179;1373;2,8;92390;59,41;309;57,93;48482;0,37;
Cyprus;Russian Federation;27;1373;2,8;28357;18,24;309;8,74;14718;0,18;
Cyprus;Serbia;21;1373;2,8;10957;7,05;309;6,8;5747;0,37;
Cyprus;Singapore;1;1373;2,8;2154;1,39;309;0,32;1182;0,08;
Cyprus;South Africa;2;1373;2,8;2355;1,51;309;0,65;1027;0,19;
Cyprus;Spain;3;1373;2,8;4028;2,59;309;0,97;1948;0,15;
Cyprus;Sri Lanka;12;1373;2,8;6306;4,06;309;3,88;2884;0,42;
Cyprus;Sweden;2;1373;2,8;3060;1,97;309;0,65;1414;0,14;
Cyprus;Switzerland;2;1373;2,8;736;0,47;309;0,65;569;0,35;
Cyprus;Syrian Arab Republic;1;1373;2,8;360;0,23;309;0,32;137;0,73;
Cyprus;Thailand;9;1373;2,8;1454;0,94;309;2,91;717;1,26;
Cyprus;Turkey;5;1373;2,8;4827;3,1;309;1,62;2421;0,21;
Cyprus;Ukraine;36;1373;2,8;27775;17,86;309;11,65;13875;0,26;
Cyprus;United Arab Emirates;1;1373;2,8;2335;1,5;309;0,32;1226;0,08;
Cyprus;United Kingdom;42;1373;2,8;29927;19,25;309;13,59;14558;0,29;
Cyprus;United States;108;1373;2,8;105420;67,79;309;34,95;64074;0,17;
Cyprus;Uruguay;1;1373;2,8;1500;0,96;309;0,32;923;0,11;
Cyprus;Vietnam;53;1373;2,8;9827;6,32;309;17,15;4529;1,17;
Czech Republic;Argentina;5;749;1,5;12720;8,18;175;2,86;6839;0,07;
Czech Republic;Armenia;1;749;1,5;1985;1,28;175;0,57;1066;0,09;
Czech Republic;Australia;5;749;1,5;9761;6,28;175;2,86;5051;0,1;
Czech Republic;Bangladesh;36;749;1,5;17468;11,23;175;20,57;8416;0,43;
Czech Republic;Belarus ;3;749;1,5;3044;1,96;175;1,71;1391;0,22;
Czech Republic;Brazil;4;749;1,5;4834;3,11;175;2,29;2612;0,15;
Czech Republic;Bulgaria;5;749;1,5;9387;6,04;175;2,86;4695;0,11;
Czech Republic;Canada;18;749;1,5;25485;16,39;175;10,29;14440;0,12;
Czech Republic;Cayman Islands;1;749;1,5;21;0,01;175;0,57;7;14,29;
Czech Republic;China;13;749;1,5;7801;5,02;175;7,43;3871;0,34;
Czech Republic;Colombia;1;749;1,5;889;0,57;175;0,57;524;0,19;
Czech Republic;Czech Republic;1;749;1,5;1181;0,76;175;0,57;692;0,14;
Czech Republic;Egypt;11;749;1,5;17182;11,05;175;6,29;8809;0,12;
Czech Republic;Ethiopia;1;749;1,5;84;0,05;175;0,57;48;2,08;
Czech Republic;Finland;3;749;1,5;808;0,52;175;1,71;318;0,94;
Czech Republic;France;6;749;1,5;3513;2,26;175;3,43;1601;0,37;
Czech Republic;Germany ;4;749;1,5;7974;5,13;175;2,29;3700;0,11;
Czech Republic;Greece;3;749;1,5;1848;1,19;175;1,71;844;0,36;
Czech Republic;India;175;749;1,5;155501;100;175;100;80388;0,22;
Czech Republic;Indonesia;7;749;1,5;7742;4,98;175;4;4116;0,17;
Czech Republic;Israel;4;749;1,5;3125;2,01;175;2,29;1688;0,24;
Czech Republic;Italy;35;749;1,5;3404;2,19;175;20;1452;2,41;
Czech Republic;Japan;2;749;1,5;705;0,45;175;1,14;359;0,56;
Czech Republic;Kenya;1;749;1,5;1637;1,05;175;0,57;37;2,7;
Czech Republic;Kyrgyzstan;1;749;1,5;1521;0,98;175;0,57;11;9,09;
Czech Republic;Malaysia;2;749;1,5;3160;2,03;175;1,14;1760;0,11;
Czech Republic;Mexico;2;749;1,5;3465;2,23;175;1,14;1732;0,12;
Czech Republic;Mongolia;1;749;1,5;331;0,21;175;0,57;169;0,59;
Czech Republic;Morocco;3;749;1,5;1112;0,72;175;1,71;517;0,58;
Czech Republic;Nepal;1;749;1,5;1861;1,2;175;0,57;1018;0,1;
Czech Republic;Netherlands;2;749;1,5;3487;2,24;175;1,14;1579;0,13;
Czech Republic;New Zealand;6;749;1,5;1482;0,95;175;3,43;827;0,73;
Czech Republic;Nigeria;1;749;1,5;909;0,58;175;0,57;444;0,23;
Czech Republic;Pakistan;57;749;1,5;72899;46,88;175;32,57;36757;0,16;
Czech Republic;Philippines;17;749;1,5;13478;8,67;175;9,71;7059;0,24;
Czech Republic;Poland;19;749;1,5;7145;4,59;175;10,86;3520;0,54;
Czech Republic;Portugal;3;749;1,5;2963;1,91;175;1,71;1682;0,18;
Czech Republic;Romania;99;749;1,5;92390;59,41;175;56,57;48482;0,2;
Czech Republic;Russian Federation;20;749;1,5;28357;18,24;175;11,43;14718;0,14;
Czech Republic;Serbia;6;749;1,5;10957;7,05;175;3,43;5747;0,1;
Czech Republic;Singapore;2;749;1,5;2154;1,39;175;1,14;1182;0,17;
Czech Republic;South Africa;1;749;1,5;2355;1,51;175;0,57;1027;0,1;
